City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Pathein,MM,78.13,broken clouds,16.7833,94.7333,Pathein Hotel
544,Eyl,SO,71.6,clear sky,7.9803,49.8164,Amiin Hotel
545,Tra Vinh,VN,78.69,scattered clouds,9.9347,106.3453,Hồng Ân
548,Maua,BR,73.0,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
553,Wanaka,NZ,77.65,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
554,Tautira,PF,84.2,broken clouds,-17.7333,-149.15,Pension Oaoa
557,Porto Novo,BJ,80.6,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
563,Tulagi,SB,81.37,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
569,Fomboni,KM,81.88,clear sky,-12.28,43.7425,Auberge les abou
571,Flinders,AU,84.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
572,Mananara,MG,79.77,few clouds,-16.1667,49.7667,Chez Roger
576,Pontes E Lacerda,BR,73.6,light rain,-15.2261,-59.3353,Hotel Bressan
581,Alappuzha,IN,76.41,light rain,9.49,76.3264,Panoramic Sea Resort
586,Santa Isabel Do Rio Negro,BR,73.96,broken clouds,-0.4139,-65.0192,Hotel GSA
588,Batticaloa,LK,81.32,moderate rain,7.7102,81.6924,Grand Star Guest House
590,Upata,VE,75.0,few clouds,8.0086,-62.3989,Posada Villa Nela
598,Lodwar,KE,78.64,clear sky,3.1191,35.5973,Turkwel Lodge
609,Weligama,LK,75.79,moderate rain,5.9667,80.4167,Weligama Bay Resort
613,Edd,ER,74.01,clear sky,13.9297,41.6925,
616,Meulaboh,ID,83.86,broken clouds,4.1363,96.1285,Kost Pria
617,Ugoofaaru,MV,80.01,moderate rain,5.6667,73.0,Ungoofaaru Inn
622,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
627,Sembe,CG,71.37,broken clouds,1.6481,14.5806,
628,Auki,SB,80.76,light rain,-8.7676,160.7034,Auki Motel
632,Hambantota,LK,77.0,light rain,6.1241,81.1185,Bungalow 63
633,Alofi,NU,86.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
635,Hualmay,PE,70.18,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
638,Angul,IN,76.06,clear sky,20.85,85.1,Bluebay 08 satkosia Tarava
641,Otane,NZ,72.0,clear sky,-39.8833,176.6333,Ludlow Farmstay
642,Cairns,AU,86.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
644,Boyolangu,ID,84.56,overcast clouds,-8.1181,111.8935,Yos ega cv
645,Soyo,AO,77.72,broken clouds,-6.1349,12.3689,Hotel Mpampa
646,Arua,UG,71.46,broken clouds,3.0201,30.9111,Golden Courts Hotel
647,Alcantara,BR,78.8,few clouds,-2.4089,-44.4147,Pousada da Josefa
649,Cantaura,VE,73.24,scattered clouds,9.3057,-64.3584,Hotel Lorenzana
651,Maraa,BR,73.18,broken clouds,-1.8333,-65.3667,
654,Xai-Xai,MZ,76.75,light rain,-25.0519,33.6442,Complexo da Familia
655,Auka,HN,71.92,broken clouds,14.9333,-83.8333,
657,Yenagoa,NG,74.89,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
658,Kuala Terengganu,MY,82.4,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
659,Sao Felix Do Xingu,BR,70.75,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
660,Yangambi,CD,71.73,scattered clouds,0.8102,24.4336,
670,Poum,NC,83.43,broken clouds,-20.2333,164.0167,Gîte kajeon
672,San Mateo Del Mar,MX,72.3,clear sky,16.2,-95.0,
676,Tezu,IN,71.38,scattered clouds,27.9167,96.1667,Circuit House
683,Galesong,ID,86.0,moderate rain,-5.3166,119.3661,Sapriadi Appy
