City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Hithadhoo,MV,2021-01-13 04:25:32,-0.6,73.0833,82.04,79,61,19.01,broken clouds
243,Yulara,AU,2021-01-13 04:25:32,-25.2406,130.9889,104.0,10,0,14.97,clear sky
244,Nsanje,MW,2021-01-13 04:25:32,-16.92,35.262,75.61,93,100,1.03,overcast clouds
245,Kavaratti,IN,2021-01-13 04:25:32,10.5669,72.642,78.4,76,100,21.03,light rain
246,Constitucion,CL,2021-01-13 04:25:32,-35.3333,-72.4167,54.54,66,0,7.83,clear sky
247,Uromi,NG,2021-01-13 04:25:34,6.7,6.3333,69.26,100,1,2.19,clear sky
248,Ribeira Grande,PT,2021-01-13 04:25:34,38.5167,-28.7,60.62,80,9,6.71,clear sky
249,Alghero,IT,2021-01-13 04:25:34,40.5589,8.3181,53.6,82,40,12.66,scattered clouds
250,Sisimiut,GL,2021-01-13 04:25:34,66.9395,-53.6735,17.64,95,100,7.09,light snow
251,Kavieng,PG,2021-01-13 04:25:34,-2.5744,150.7967,85.5,71,34,15.75,scattered clouds
252,Pringsewu,ID,2021-01-13 04:21:50,-5.3582,104.9744,82.17,73,99,5.93,overcast clouds
253,Fortuna,US,2021-01-13 04:25:35,40.5982,-124.1573,60.01,94,90,20.71,overcast clouds
254,Davila,PH,2021-01-13 04:25:35,18.4726,120.5763,80.6,65,75,6.91,broken clouds
255,Sungaipenuh,ID,2021-01-13 04:25:35,-2.0833,101.3833,75.31,71,98,1.95,overcast clouds
256,Patea,NZ,2021-01-13 04:25:35,-39.7583,174.4833,73.99,80,9,1.99,clear sky
257,Aginskoye,RU,2021-01-13 04:25:36,51.1,114.53,-6.77,80,8,13.8,clear sky
258,Esso,RU,2021-01-13 04:25:36,55.9333,158.7,1.69,86,99,3.51,overcast clouds
259,Manjacaze,MZ,2021-01-13 04:25:36,-24.7117,33.8828,75.13,91,2,4.05,light rain
260,Gainesville,US,2021-01-13 04:25:37,29.6516,-82.3248,51.01,76,90,4.61,overcast clouds
